,brand,overall_rating,planet_score,people_score,animals_score,description
384,Wallace Cotton,3,3,2,4,Wallace Cotton's rating applies to the Wallace Cotton house apparel brand only and does not cover other brands stocked by Wallace Cotton or other categories of products outside of apparel.Its environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including organic cotton. It reduces its water use by using rain-water in some of its manufacturing. There is no evidence it reduces its carbon and other greenhouse gas emissions. Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct. It does not disclose where its final stage of production occurs. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Wallace Cotton is rated 'It's a start' overall.
385,Araks,4,4,3,Not applicable,"Araks' environment rating is 'good'. It uses a medium proportion of eco-friendly materials including organic cotton. It manufactures locally to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. It traces most of its supply chain including all of the final and second stages of production. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. This brand makes products that are generally free of animal materials other than silk. We have not rated its impact on animals. The overall rating is based on environment and labour scores only. Araks is rated 'Good' overall."
386,Lelasilk,3,2,3,4,"Lelasilk's environment rating is 'not good enough'. It uses few eco-friendly materials. Its products are made to order to minimise textile waste. There is no evidence it implements water reduction initiatives. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. Its labour rating is 'it's a start'. Its products are manufactured in-house by a small team. It traces some of its supply chain. There is no evidence it ensures payment of a living wage. Its animal rating is 'good'. It does not use leather, wool, angora, down, fur, exotic animal skin or exotic animal hair. It uses silk. Lelasilk is rated 'It's a start' overall."
387,autark,4,5,3,4,"autark's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It manufactures locally to reduce its carbon footprint. It has a limited production run to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. Its final stage of production is undertaken in Australia a low risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. Its animal rating is 'good'. It does not use fur, leather, wool, down, exotic animal skin, exotic animal hair or angora. It uses silk. autark is rated 'Good' overall."
388,Dedicated,5,5,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Dedicated “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.It uses a closed-loop system to reduce water use in its supply chain.It uses some recycled packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Dedicated “Good”. These are a few factors influencing its score:Much of its supply chain is certified by Business Social Compliance Initiative Code of Conduct - BSCI, Fairtrade International - Small Producers Organisations, Global Organic Textile Standard (GOTS) certified organic cotton, Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance, Social Accountability International - SA8000, and Worldwide Responsible Accredited Production - WRAP, including most of the final, second, and first production stages.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It traces most of its supply chain.It’s not clear if it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Dedicated “Good”. These are a few factors influencing its score:It uses recycled wool in all of its wool products.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate Dedicated “Great” overall."
389,Kotn,4,3,5,3,"Kotn's environment rating is 'it's a start'. It uses some eco-friendly materials including organic cotton. It manufactures its first and second stages of production locally to reduce its climate impact. There is no evidence it minimises textile waste. It produces long-lasting products. Its labour rating is 'great'. It has a mission to improve social condition for cotton communities in Egypt. It traces all of its supply chain. It ensures payment of a living wage in the final stage of production. Its animal rating is 'it's a start'. There is no evidence it has an animal welfare policy. It uses wool. It does not use leather, exotic animal hair, fur, down, angora or exotic animal skin.Kotn is rated 'Good' overall."
390,VENIM,4,5,2,5,"VENIM's environment rating is 'great'. It uses a high proportion of eco-friendly materials including upcycled materials. It has a limited production run to minimise textile waste. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'not good enough'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. It traces most of its supply chain. There is no evidence it has a Code of Conduct. There is no evidence it investigates and reports on safety incidents. There is no evidence it ensures payment of a living wage in its supply chain. Its animal rating is 'great'. It states that its entire product range is vegan. VENIM is rated 'Good' overall."
391,Fruit of the Loom,3,2,2,4,Fruit of the Loom's environment rating is 'not good enough'. It uses some eco-friendly materials including organic cotton. It has set a science-based target to reduce greenhouse gas emissions generated from its own operations and supply chain and it is on track to meet its target. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it has a policy to protect biodiversity in its supply chain. Its labour rating is 'not good enough'. Some of its supply chain is certified by Worldwide Responsible Accredited Production - WRAP and FLA Workplace Code of Conduct including most of the final stage of production. It received a score of 31-40% in the 2021 Fashion Transparency Index. There is no evidence it implements practices to support diversity and inclusion in its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. It discloses policies and safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Fruit of the Loom is rated 'It's a start' overall.
392,Ecoology,4,5,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Ecoology “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it reuses some of its textile offcuts.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Ecoology “It's a Start”. These are a few factors influencing its score:Its final production stage happens in Spain a medium risk country for labour abuse.There's no evidence it has a Code of Conduct but it has a formal statement covering workers' rights.It traces most of its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Ecoology “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Ecoology “Good” overall."
393,Seek Collective,4,5,4,4,"Seek Collective's environment rating is 'great'. It uses some eco-friendly materials including recycled materials. It uses low impact non-toxic dyes in all of its products. It makes products by hand to reduce its climate impact. It had a limited production run to minimise textile waste. Its labour rating is 'good'. It provides jobs for workers from disadvantaged communities. It sources its final stage of production from countries with extreme risk of labour abuse. It traces most of its supply chain including all of the final stage of production. It is unclear whether it ensures payment of a living wage in its supply chain. Its animal rating is 'good'. It does not use leather, wool, down, angora, fur or exotic animal skin. It uses exotic animal hair and silk. Seek Collective is rated 'Good' overall."
394,4Kinship,4,5,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate 4Kinship “Great”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including upcycled materials.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it limits its production runs.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate 4Kinship “Good”. These are a few factors influencing its score:It partners with Indigenous artists and makers on Navajo Nation.It partly traces its supply chain including all of the final production stage.It visits its suppliers regularly.It’s not clear if it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate 4Kinship “Good”. These are a few factors influencing its score:It appears to use exotic animal hair, and silk.It uses recycled leather in all of its leather products.It uses recycled wool in all of its wool products.It doesn’t appear to use down, fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate 4Kinship “Good” overall."
395,Mochi,4,5,4,4,"Mochi's environment rating is 'great'. It uses a high proportion of eco-friendly materials including recycled materials. It makes products by hand to reduce its climate impact. It reuses its offcuts to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its final stage of production is undertaken in the Netherlands, a low risk country for labour abuse. It traces most of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. It visits most of its suppliers regularly. Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin or angora. It uses recycled wool and exotic animal hair. Mochi is rated 'Good' overall."
396,Reformation,4,4,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Reformation “Good”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including Tencel Lyocell.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.It has a policy approved by CanopyStyle to prevent deforestation of ancient and endangered forests in its supply chain.To minimise waste, it recycles some of its textile offcuts.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Reformation “Good”. These are a few factors influencing its score:It traces most of its supply chain.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It audits some of its supply chain including all of the final production stage.It ensures some workers in the final production stage are paid living wages, though not in its entire supply chain.During the height of the COVID-19 pandemic, it disclosed some policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Reformation “Good”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare and clear implementation mechanisms in place.It appears to use leather, exotic animal hair, and silk.Responsible Wool Standard certifies the wool it sources.It doesn’t appear to use down, fur, angora, or exotic animal skin.It traces most animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Reformation “Good” overall."
397,Grüne Erde,4,5,4,3,"Grüne Erde's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It has a limited production run to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its factories are Global Organic Textile Standard (GOTS) certified. It sources its final stage of production from countries with extreme risk of labour abuse. It traces all of its supply chain. It ensures payment of a living wage in some of its supply chain but does not specify what percentage. Its animal rating is 'it's a start'. It does not use fur, down, exotic animal skin or angora. It states that it sources wool from non-mulesed sheep. It uses leather and exotic animal hair.Grüne Erde is rated 'Good' overall."
398,GU,3,3,3,4,"GU is owned by Fast Retailing.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate GU “It's a Start”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.It offers clothing recycling to consumers to help address end-of-life textile waste.It takes some actions to reduce water use in its supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate GU “It's a Start”. These are a few factors influencing its score:Its social auditing program covering its entire final production stage is accredited by Fair Labor Association (FLA).It received a score of 41-50% in the 2022 Fashion Transparency Index.There’s no evidence it implements practices to support diversity and inclusion in its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate GU “Good”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It uses some recycled leather in its leather products.It doesn’t appear to use wool, down, fur, angora, exotic animal skin, or exotic animal hair.There’s no evidence it traces any animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate GU “It's a Start” overall."
399,AndAll,4,5,4,4,"AndAll's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Tencel. It uses renewable energy in its supply chain to reduce its climate impact. It reuses its offcuts to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.Its labour rating is 'good'. Its final stage of production is undertaken in Portugal, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It is unclear whether it ensures payment of a living wage in its supply chain. It visits its suppliers regularly. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. AndAll is rated 'Good' overall."
400,Maylyn & Co.,3,4,2,5,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Maylyn & Co. “Good”. These are a few factors influencing its score:It uses some lower-impact materials including organic cotton.To minimise waste, it limits its production runs.It opts for sea freight shipping over air freight to reduce its climate impacts.It produces long-lasting products.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Maylyn & Co. “Not Good Enough”. These are a few factors influencing its score:It doesn't disclose where its final production stage occurs.It traces some of its supply chain.It claims it has a Code of Conduct but does not publicly disclose it.It claims it ensures payment of a living wage in its supply chain but doesn't define a living wage.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Maylyn & Co. “Great”. PETA listed the brand as vegan.Based on all publicly available information we’ve reviewed, we rate Maylyn & Co. “It's a Start” overall."
401,Mini Rodini,4,4,5,3,"Mini Rodini's environment rating is 'good'. It uses a high proportion of eco-friendly materials. It uses sea freight to reduce its climate impact. There is no evidence it minimises textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'great'. It is a member of the Fair Wear Foundation. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It ensures payment of a living wage in some of its supply chain. It traces most of its supply chain. Its animal rating is 'it's a start'. There is no evidence it has an animal welfare policy. It uses wool. It does not use leather, exotic animal hair, fur, down, angora or exotic animal skin. Mini Rodini is rated 'Good' overall."
402,Drivemebikini,3,3,2,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Drivemebikini “It's a Start”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.There’s no evidence it’s taking meaningful action to reduce water use.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.There’s no evidence it takes action to minimise its packaging, which is a driver of plastic waste.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Drivemebikini “Not Good Enough”. These are a few factors influencing its score:Its final production stage happens in the European Union, a low/medium risk region for labour abuse.There’s no evidence it has a Code of Conduct.There's no evidence it audits its suppliers.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Drivemebikini “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Drivemebikini “It's a Start” overall."
403,LoveLux,4,4,4,5,"LoveLux's environment rating is 'good'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It produces long-lasting products. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It traces most of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. Its final stage of production is audited by the Fair Wear Foundation.Its animal rating is 'great'. Its products are certified by PETA as vegan.LoveLux is rated 'Good' overall."
404,Band of Rascals,5,5,4,4,"Band of Rascals' environment rating is 'great'. Its products are Global Organic Textile Standard (GOTS) certified. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its final stage of production is undertaken in Portugal, a medium risk country for labour abuse. It traces all of its supply chain. It visits its suppliers regularly. It is unclear whether it ensures payment of a living wage in its supply chain.Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Band of Rascals is rated 'Great' overall."
405,ROZENBROEK,4,5,3,5,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate ROZENBROEK “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it limits its production runs.To reduce its climate impacts, it uses renewable energy in its supply chain.It uses some recycled packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate ROZENBROEK “It's a Start”. These are a few factors influencing its score:Its products are made in-house by a small team.There's no evidence it has a Code of Conduct but it has a formal statement covering workers rights.It partly traces its supply chain including the final and some of the second production stages.It claims it ensures payment of a living wage in its supply chain but doesn't define a living wage.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate ROZENBROEK “Great”. It states that its entire product range is vegan.Based on all publicly available information we’ve reviewed, we rate ROZENBROEK “Good” overall."
406,SILENT WAVE INDIGO,5,5,5,4,"SILENT WAVE INDIGO's environment rating is 'great'. It uses a high proportion of eco-friendly materials including upcycled materials. It manufactures locally to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'great'. Its products are manufactured in-house by the owner. It traces all of its supply chain. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. SILENT WAVE INDIGO is rated 'Great' overall."
407,Kilomet109,4,4,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Kilomet109 “Good”. These are a few factors influencing its score:It uses some lower-impact materials including organic cotton.To minimise waste, it limits its production runs.It uses low-impact dyes in most of its products.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Kilomet109 “Good”. These are a few factors influencing its score:Its products are made in-house by the owner.It partners with artisans and independent makers from Vietnam.It traces most of its supply chain.It’s not clear if it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Kilomet109 “Good”. These are a few factors influencing its score:It appears to use silk.It doesn’t appear to use leather, wool, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate Kilomet109 “Good” overall."
408,ThokkThokk,4,4,4,5,"ThokkThokk's environment rating is 'good'. It uses a high proportion of eco-friendly materials including organic cotton. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with extreme risk of labour abuse. It ensures payment of a living wage in most of its supply chain. It traces all of its supply chain. Its animal rating is 'great'. It states that its entire product range is vegan. ThokkThokk is rated 'Good' overall."
409,Bougainvillea London,5,5,4,4,"Bougainvillea London's environment rating is 'great'. It uses a high proportion of eco-friendly materials including upcycled materials. It has a limited production run to minimise textile waste. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its products are manufactured in-house by a small team. It traces all of its supply chain. It is unclear whether it ensures payment of a living wage.Its animal rating is 'good'. It does not use fur, leather, wool, down, exotic animal skin, exotic animal hair or angora. It uses recycled silk.Bougainvillea London is rated 'Great' overall."
410,Soleil Soleil,5,5,4,5,"Soleil Soleil's environment rating is 'great'. It uses a high proportion of eco-friendly materials including upcycled materials. It uses recycled packaging. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It ensures payment of a living wage in some of its supply chain. It traces all of its supply chain. Its animal rating is 'great'. It states that its entire product range is vegan. Soleil Soleil is rated 'Great' overall."
411,Printfresh,4,4,2,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Printfresh “Good”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.It uses low-waste cutting techniques to maximise fabric use.It opts for sea freight shipping over air freight to reduce its climate impacts.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Printfresh “Not Good Enough”. These are a few factors influencing its score:Some of its supply chain is certified by Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance, including most of its final production stage.It partly traces its supply chain including the final and some of the second production stages.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Printfresh “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Printfresh “Good” overall."
412,Ethletic,4,3,4,5,"Ethletic's environment rating is 'it's a start'. It uses a high proportion of eco-friendly materials including organic cotton. There is no evidence it minimises textile waste. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with extreme risk of labour abuse. It traces all of its supply chain. It ensures payment of a living wage in its supply chain but does not specify what percentage. It audits most of its supply chain.Its animal rating is 'great'. It is listed by PETA as vegan. Ethletic is rated 'Good' overall."
413,Dai,4,4,3,4,"Dai's environment rating is 'good'. It uses some eco-friendly materials including recycled materials. It implements initiatives to reduce greenhouse gas emissions from manufacturing. It implements initiatives to reduce water use. It uses recycled packaging. Its labour rating is 'it's a start'. Its final stage of production is undertaken in the European Union, a low/medium risk region for labour abuse. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain including all of the final and second stages of production. There is no evidence it audits any of its supply chain. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Dai is rated 'Good' overall."
414,Accel Lifestyle,3,2,3,4,"Accel Lifestyle's environment rating is 'not good enough'. It uses some eco-friendly materials including organic cotton. There is no evidence it minimises textile waste when manufacturing its products. It manufactures locally to reduce its climate impact. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. Its labour rating is 'it's a start'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. It traces all of its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. It visits its suppliers but does not state how often. Its animal rating is 'good'. t does not use any animal products but it does not state that it's vegan. Accel Lifestyle is rated 'It's a start' overall."
415,Organic Crew,4,4,4,3,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Organic Crew “Good”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including Global Organic Textile Standard (GOTS) certified organic cotton cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.There’s no evidence it minimises textile waste in its supply chain.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Organic Crew “Good”. These are a few factors influencing its score:Most of its supply chain is certified by Global Organic Textile Standard (GOTS) certified organic cotton.It traces most of its supply chain.There's no evidence it has a Code of Conduct but it has a formal statement covering workers' rights.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Organic Crew “It's a Start”. These are a few factors influencing its score:There’s no evidence it has an animal welfare policy.It appears to use wool and exotic animal hair.It doesn’t appear to use leather, down, fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate Organic Crew “Good” overall."
416,Boyish,4,5,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and Wastewater to business models and product circularity. Here we rate Boyish “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including recycled materials.It uses lower-impact materials that help limit the chemicals, water, and wastewater in its Supply Chain.To minimise waste, it recycles all of its textile offcuts.It uses a closed-loop system to reduce water use in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Boyish “Good”. These are a few factors influencing its score:Some of its supply chain is certified by Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance, including its entire final production stage.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It traces most of its supply chain.It claims to have a program to improve wages but there’s no evidence it ensures its workers are paid living wages in most of its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Boyish “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Boyish “Good” overall."
417,Velvet Heartbeat,4,4,3,5,Velvet Heartbeat's environment rating is 'good'. It uses some eco-friendly materials including upcycled materials. It has a limited production run to minimise textile waste. It manufactures locally to reduce its climate impact. It uses compostable packaging.Its labour rating is 'it's a start'. Its products are manufactured in-house by a small team. It traces some of its supply chain. There is no evidence it ensures payment of a living wage. Its animal rating is 'great'. Its products are certified by PETA as vegan. Velvet Heartbeat is rated 'Good' overall.
418,Neu Nomads,5,5,5,4,"Neu Nomads's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Tencel Lyocell. It uses renewable energy in its supply chain to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'great'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It ensures payment of a living wage in the final stage of production. It traces most of its supply chain. It visits its suppliers regularly. Its animal rating is 'good'. It does not use fur, leather, wool, down, exotic animal skin or angora. It uses exotic animal hair. Neu Nomads is rated 'Great' overall."
419,PACT,4,3,4,3,"PACT's environment rating is 'it's a start'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. There is no evidence it minimises textile waste. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Most of its facilities are Fair Trade USA certified. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It sources its final stage of production from countries with extreme risk of labour abuse. It traces most of its supply chain including all of the final stage of production. It ensures payment of a living wage in some of its supply chain. Its animal rating is 'it's a start'. There is no evidence it has an animal welfare policy. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses wool. PACT is rated 'Good' overall."
420,Sealand,5,5,4,5,"Sealand's environment rating is 'great'. It uses a high proportion of eco-friendly materials. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. It traces most of its supply chain. It ensures payment of a living wage in some of its supply chain. It visits its suppliers regularly. Its animal rating is 'great'. It states that its entire product range is vegan. Sealand is rated 'Great' overall."
